# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 61  of event 'cpu-clock'
# Event count (approx.): 15250000
#
# Children      Self    Pid:Command          Command          Shared Object            Symbol                                               
# ........  ........  .....................  ...............  .......................  .....................................................
#
     1.64%     1.64%   8256:firefox          firefox          libxul.so                [.] 0x000000000090ab1a                               
     1.64%     1.64%   8256:firefox          firefox          libxul.so                [.] 0x000000000091bef6                               
     1.64%     1.64%   8256:firefox          firefox          libxul.so                [.] 0x0000000000931c08                               
     1.64%     1.64%   8256:firefox          firefox          libxul.so                [.] 0x0000000000ab2ca0                               
     1.64%     1.64%   8256:firefox          firefox          libxul.so                [.] 0x000000000122e1eb                               
     1.64%     1.64%   8256:firefox          firefox          libxul.so                [.] 0x00000000015bac68                               
     1.64%     1.64%   8256:firefox          firefox          libxul.so                [.] 0x00000000015ca807                               
     1.64%     1.64%   8256:firefox          firefox          libxul.so                [.] 0x00000000015d2411                               
     1.64%     1.64%   8256:firefox          firefox          libxul.so                [.] 0x00000000015d3b30                               
     1.64%     1.64%   8256:firefox          firefox          libxul.so                [.] 0x000000000164e030                               
     1.64%     1.64%   8256:firefox          firefox          libxul.so                [.] 0x000000000169362b                               
     1.64%     1.64%   8256:firefox          firefox          libxul.so                [.] 0x0000000001954ff0                               
     1.64%     1.64%   8256:firefox          firefox          libxul.so                [.] 0x00000000025cc41c                               
     1.64%     1.64%   8256:firefox          firefox          libxul.so                [.] 0x00000000026faf57                               
     1.64%     1.64%   8256:firefox          firefox          libxul.so                [.] 0x00000000026faf5d                               
     1.64%     1.64%   8256:firefox          firefox          libxul.so                [.] 0x0000000002da3952                               
     1.64%     1.64%   8256:firefox          firefox          libxul.so                [.] 0x0000000002e87710                               
     1.64%     1.64%   8256:firefox          firefox          libxul.so                [.] 0x0000000002ecee0f                               
     1.64%     1.64%   8256:firefox          firefox          libxul.so                [.] 0x0000000002f29180                               
     1.64%     1.64%   8256:firefox          firefox          libxul.so                [.] 0x00000000030a017b                               
     1.64%     1.64%   8256:firefox          firefox          libxul.so                [.] 0x00000000030b1839                               
     1.64%     1.64%   8256:firefox          firefox          libxul.so                [.] 0x00000000032f2f4c                               
     1.64%     1.64%   8256:firefox          firefox          libxul.so                [.] 0x0000000003de2d9b                               
     1.64%     1.64%   8256:firefox          firefox          libxul.so                [.] 0x0000000004198d55                               
     1.64%     1.64%   8256:firefox          firefox          libxul.so                [.] 0x00000000042cad3c                               
     1.64%     1.64%   8256:firefox          firefox          libxul.so                [.] 0x000000000460950c                               
     1.64%     1.64%   8256:firefox          firefox          libxul.so                [.] 0x0000000004b8662b                               
     1.64%     1.64%   8256:firefox          firefox          libxul.so                [.] 0x0000000004b86e9c                               
     1.64%     1.64%   8256:firefox          firefox          libxul.so                [.] 0x0000000004e7584a                               
     1.64%     1.64%   8266:Gecko_IOThread   Gecko_IOThread   [kernel.kallsyms]        [k] _raw_spin_unlock_irqrestore                      
     1.64%     1.64%   8266:Gecko_IOThread   Gecko_IOThread   [kernel.kallsyms]        [k] sock_poll                                        
     1.64%     1.64%   8266:Gecko_IOThread   Gecko_IOThread   [vdso]                   [.] __vdso_clock_gettime                             
     1.64%     1.64%   8284:Softwar~cThread  Softwar~cThread  firefox                  [.] moz_xmalloc                                      
